"Entidade Executora";"UF";"ANO";"Valor Transferido";"Valor aquisições da agricultura familiar";"Percentual.x";"Código IBGE";"Valor transferido";"Valor aquisições agricultura familiar";"Percentual.y"
"MUNICIPIO DE JUNDIAI";"SP";2011;4491780;0;0;3525904;NA;NA;NA
"MUNICIPIO DE SAO DOMINGOS";"SC";NA;NA;NA;NA;4216107;67740;51905,63;0,766247859462651
"MUNICIPIO DE SAO JOAO DA BOA VISTA";"SP";2011;873780;262635;0,300573370871386;3549102;1084500;561312,99;0,517577676348548
"PM DE CARLOS CHAGAS";"MG";2011;147660;36841,7;0,249503589326832;3113701;175600;54830;0,312243735763098
"PM DE VALENÇA";"RJ";2011;670380;269652,49;0,402238267848086;3306107;NA;NA;NA
"PREF MUN DA ESTANCIA DE SERRA NEGRA";"SP";2011;333420;68807,1;0,206367644412453;3551603;477000;393401,14;0,824740335429769
"PREF MUN DA ESTANCIA TURISTICA DE HOLAMBRA";"SP";2011;180300;0;0;3519055;265680;0;0
"PREF MUN DE ABADIA DE GOIAS";"GO";2011;82320;27000;0,32798833819242;5200050;109500;0;0
"PREF MUN DE ABADIA DOS DOURADOS";"MG";2011;38040;0;0;3100104;38540;0;0
"PREF MUN DE ABADIANIA";"GO";2011;118080;33947,1;0,28749237804878;5200100;127220;27874,4;0,219103914478856
"PREF MUN DE ABAETE";"MG";2011;172200;0;0;3100203;177503,2;20809,2;0,117232816084442
"PREF MUN DE ABAETETUBA";"PA";2011;4095480;101016;0,0246652407043863;1500107;4781398,4;524237,95;0,109641135530559
"PREF MUN DE ABAIARA";"CE";2011;148140;44442;0,3;2300101;183060;54480,7;0,297611165738009
"PREF MUN DE ABAIRA";"BA";2011;80340;18474,84;0,229958177744586;2900108;74660;22496,4;0,30131797481918
"PREF MUN DE ABARE";"BA";2011;286260;0;0;2900207;402406;0;0
"PREF MUN DE ABATIA";"PR";2011;47040;16880,27;0,358849277210884;4100103;109328;23180,76;0,212029489243378
"PREF MUN DE ABDON BATISTA";"SC";2011;18780;0;0;4200051;30660;14931,15;0,486991193737769
"PREF MUN DE ABEL FIGUEIREDO";"PA";2011;142200;0;0;1500131;154760;48877,64;0,315828637890928
"PREF MUN DE ABELARDO LUZ";"SC";2011;214440;69444,55;0,323841400858049;4200101;354584;87151,05;0,245783932721161
"PREF MUN DE ABRE CAMPO";"MG";2011;65460;11383,32;0,173897341888176;3100302;63234;28643,97;0,452983679666003
"PREF MUN DE ABREU E LIMA";"PE";2011;165024;0;0;2600054;608268;43019,96;0,0707253381733052
"PREF MUN DE ABREULANDIA";"TO";2011;22860;2034,5;0,0889982502187227;1700251;40012;19040,79;0,475876986903929
"PREF MUN DE ACAIACA";"MG";2011;42360;0;0;3100401;44920;16968,9;0,377758236865539
"PREF MUN DE ACAILANDIA";"MA";2011;1676280;218738,44;0,130490395399337;2100055;2065752;538270,31;0,260568698469129
"PREF MUN DE ACAJUTIBA";"BA";2011;179880;3057,96;0,017;2900306;219060;31330,75;0,143023600839953
"PREF MUN DE ACARA";"PA";NA;NA;NA;NA;1500206;2018845,2;671565;0,332648090106166
"PREF MUN DE ACARAPE";"CE";2011;166440;17710;0,106404710406152;2300150;91584;50718,1;0,553787779524808
"PREF MUN DE ACARAU";"CE";NA;NA;NA;NA;2300200;1086716;42770;0,0393571089410665
"PREF MUN DE ACARI";"RN";2011;95640;0;0;2400109;154912;31963,14;0,206330949184053
"PREF MUN DE ACAUA";"PI";2011;86820;0;0;2200053;92380;0;0
"PREF MUN DE ACEGUÁ";"RS";2011;42780;4481,15;0,104748714352501;4300034;49560;19527,65;0,394020379338176
"PREF MUN DE ACOPIARA";"CE";2011;760740;263608,2;0,346515498067671;2300309;884521,6;30061,4;0,0339860552868353
"PREF MUN DE ACORIZAL";"MT";2011;30660;0;0;5100102;28896;0;0
"PREF MUN DE ACRELANDIA";"AC";NA;NA;NA;NA;1200013;202180;0;0
"PREF MUN DE ACREUNA";"GO";2011;186120;22140,8;0,118959810874704;5200134;263540;63591,6;0,241297715716779
"PREF MUN DE ACUCENA";"MG";2011;49020;15209,96;0,310280701754386;3100500;50060;17476,8;0,349117059528566
"PREF MUN DE ADAMANTINA";"SP";NA;NA;NA;NA;3500105;498380;438878,23;0,880609635218107
"PREF MUN DE ADELANDIA";"GO";2011;15600;0;0;5200159;12000;0;0
"PREF MUN DE ADOLFO";"SP";2011;51300;0;0;3500204;58480;0;0
"PREF MUN DE ADRIANOPOLIS";"PR";2011;40176;2588,04;0,0644175627240143;4100202;58760;1075,52;0,0183036078965283
"PREF MUN DE ADUSTINA";"BA";2011;223800;0;0;2900355;227980;0;0
"PREF MUN DE AFOGADOS DA INGAZEIRA";"PE";2011;352680;0;0;2600104;445776;0;0
"PREF MUN DE AFONSO BEZERRA";"RN";2011;123900;0;0;2400307;206140;8292,6;0,0402280003880858
"PREF MUN DE AFONSO CLAUDIO";"ES";2011;277560;90833,35;0,327256629197291;3200102;388560;110915,97;0,285453906732551
"PREF MUN DE AFONSO CUNHA";"MA";2011;148920;0;0;2100105;294856;12349,8;0,0418841739696665
"PREF MUN DE AFRANIO";"PE";2011;289920;28047,05;0,096740652593819;2600203;381074;0;0
"PREF MUN DE AFUA";"PA";2011;986820;0;0;1500305;993560;0;0
"PREF MUN DE AGRESTINA";"PE";2011;338460;0;0;2600302;359148;0;0
"PREF MUN DE AGRICOLANDIA";"PI";2011;51462;0;0;2200103;68960;0;0
"PREF MUN DE AGROLANDIA";"SC";2011;66300;31374,62;0,473222021116139;4200200;118880;44910,12;0,377776917900404
"PREF MUN DE AGRONOMICA";"SC";2011;29280;11571,41;0,395198428961749;4200309;43600;11501,13;0,263787385321101
"PREF MUN DE AGUA AZUL DO NORTE";"PA";2011;261420;0;0;1500347;540372;0;0
"PREF MUN DE AGUA BOA";"MG";2011;73680;16663,45;0,226159744842562;3100609;25146;0;0
"PREF MUN DE AGUA BOA";"MT";2011;220680;0;0;5100201;349740;50608,67;0,144703694172814
"PREF MUN DE AGUA BRANCA";"AL";2011;296820;0;0;2700102;309544;0;0
"PREF MUN DE AGUA BRANCA";"PB";2011;129900;15270,63;0,117556812933025;2500106;178680;78276,44;0,438081710320125
